language,filename,blank,comment,code,"github.com/AlDanial/cloc v 2.06  T=4.77 s (725.3 files/s 185982.2 lines/s)"
TypeScript,src/app/lifting/actions/soreness.ts,146,127,931
TypeScript,src/app/golf/actions/teams.ts,174,183,929
TypeScript,src/components/fairway/pages/tasks/FairwayTasks.tsx,60,147,928
TypeScript,src/components/fairway/pages/dashboard/FairwayCoachDashboard.tsx,58,127,927
TypeScript,src/app/golf/actions/admin/rollup-c.ts,77,101,925
TypeScript,src/app/baseball/(dashboard)/dashboard/pipeline/page.tsx,76,18,920
TypeScript,src/app/golf/actions/documents.ts,184,152,914
TypeScript,src/app/golf/actions/recurring-events.ts,144,234,910
TypeScript,src/components/fairway/pages/coachhelm/FairwayTeamStats.tsx,77,185,910
TypeScript,src/components/baseball/stats-center/StatsCenterClient.tsx,67,94,908
TypeScript,src/lib/baseball/read-models/player-passport.ts,88,241,903
TypeScript,src/app/golf/actions/insight-delivery.ts,128,405,892
TypeScript,src/app/golf/(dashboard)/dashboard/players/[playerId]/player-insight-client.tsx,46,39,888
TypeScript,src/app/baseball/(dashboard)/dashboard/watchlist/WatchlistClient.tsx,77,14,887
TypeScript,src/components/golf/coachhelm/RoundReviewDisplay.tsx,35,35,886
TypeScript,src/components/fairway/pages/coachhelm/FairwayPlayerCoachHelm.tsx,66,228,882
TypeScript,src/components/fairway/pages/calendar/FairwayCalendar.tsx,51,163,877
TypeScript,src/app/golf/admin/page.tsx,53,60,876
TypeScript,src/lib/baseball/read-models/stats-center.ts,71,213,862
TypeScript,src/app/lifting/(dashboard)/dashboard/settings/settings-client.tsx,67,9,860
TypeScript,src/app/golf/(dashboard)/dashboard/insights/InsightsPageContent.tsx,79,77,855
TypeScript,src/test/coachhelm/v3/causality.test.ts,74,139,852
TypeScript,src/app/golf/(dashboard)/dashboard/rounds/[id]/review/page.tsx,73,188,844
TypeScript,src/lib/baseball/operational-rule-engine.ts,52,213,842
TypeScript,src/app/golf/admin/crm/components/EmailTrackingView.tsx,63,44,841
TypeScript,src/app/baseball/actions/stat-event-imports.ts,82,143,838
TypeScript,src/lib/baseball/read-models/player-today.ts,65,255,836
TypeScript,src/components/baseball/command-center/CommandCenterClient.tsx,59,16,835
TypeScript,src/app/golf/actions/dashboard-data.ts,76,142,834
TypeScript,src/components/fairway/pages/coachhelm/FairwayPlayerInsight.tsx,59,105,831
TypeScript,src/components/fairway/pages/rounds-new/FairwayNewRoundEntry.tsx,42,87,831
TypeScript,src/components/golf/stats/ProgressStats.tsx,80,23,831
TypeScript,src/app/actions/messages.ts,166,189,829
TypeScript,src/components/fairway/pages/coachhelm/FairwayBrief.tsx,63,180,818
TypeScript,src/app/golf/(dashboard)/dashboard/classes/page.tsx,73,47,814
SQL,supabase/migrations_archive/pre_20260527/20260421000005_admin_rollups_a.sql,20,77,814
TypeScript,src/app/golf/admin/crm/components/TemplateManager.tsx,49,33,807
TypeScript,src/app/baseball/(onboarding)/player/page.tsx,73,14,804
TypeScript,src/app/baseball/actions/program-settings.ts,118,151,804
TypeScript,src/components/golf/calendar/MobileEventSheet.tsx,50,36,801
SQL,supabase/migrations/20260625000080_helm_lifting_backfill_from_baseball.sql,71,131,801
TypeScript,src/app/golf/actions/development.ts,163,239,800
TypeScript,src/lib/types/baseball-lifting-v11.ts,54,92,790
TypeScript,src/components/baseball/daily-contract/DailyContract.tsx,53,101,787
TypeScript,src/lib/baseball/read-models/player-snapshot-cards.ts,72,213,785
TypeScript,src/app/golf/actions/coachhelm-data.ts,132,173,779
TypeScript,src/app/golf/admin/components/tracer/TracerErrorAnalytics.tsx,65,2,773
TypeScript,src/app/golf/actions/tasks.ts,138,120,772
TypeScript,src/lib/types/helm-lifting-data.ts,73,49,769
SQL,supabase/migrations_archive/pre_20260527/046_stats_cache_triggers.sql,44,56,766
TypeScript,src/app/golf/actions/travel.ts,135,107,762
TypeScript,src/lib/offline/sync-engine.ts,154,241,762
SQL,supabase/migrations/20260624000063_baseball_v11_premium_lifting.sql,43,120,761
TypeScript,src/app/baseball/(dashboard)/dashboard/roster/page.tsx,58,25,753
TypeScript,src/lib/baseball/read-models/stat-visuals.ts,72,144,749
TypeScript,src/components/baseball/profile/CollegeProfileEditor.tsx,53,5,748
TypeScript,src/components/fairway/pages/hub/hub-parts.tsx,50,78,737
TypeScript,src/components/baseball/stat-visuals/HittingVisuals.tsx,49,43,730
TypeScript,src/app/golf/admin/components/ErrorFeed.tsx,48,23,729
TypeScript,src/app/baseball/actions/tasks.ts,130,84,724
TypeScript,src/app/lifting/(dashboard)/dashboard/import/import-client.tsx,70,43,721
TypeScript,src/components/baseball/performance/lift-canvas/LiftCanvas.tsx,86,70,719
TypeScript,src/app/golf/actions/player-fingerprint.ts,88,123,717
TypeScript,src/hooks/golf/use-shot-state-machine.ts,99,86,717
TypeScript,src/app/lifting/actions/weight-checkins.ts,118,115,704
TypeScript,src/app/golf/actions/pattern-management.ts,123,192,701
TypeScript,src/components/baseball/staff/StaffSettingsClient.tsx,45,34,699
TypeScript,src/app/golf/actions/team-category-insights.ts,90,139,698
SQL,supabase/migrations/20260624000050_baseball_rls_helpers_and_policies.sql,76,178,696
TypeScript,src/app/baseball/(public)/team/[id]/page.tsx,42,22,695
TypeScript,src/app/baseball/actions/video-classes.ts,79,174,695
TypeScript,src/components/baseball/stat-visuals/PitchingVisuals.tsx,44,49,694
TypeScript,src/app/baseball/(dashboard)/dashboard/videos/_VideosClient.tsx,43,11,692
TypeScript,src/lib/cache/golf-stats-calculator.ts,86,134,692
TypeScript,src/components/golf/calendar/WeekView.tsx,63,33,690
TypeScript,src/app/golf/admin/components/tracer/RoundDiagnosticModal.tsx,59,22,687
TypeScript,src/components/golf/coachhelm/insight-card/InsightCard.tsx,60,97,683
TypeScript,src/lib/notifications/email.ts,81,107,681
TypeScript,src/app/baseball/(dashboard)/dashboard/dev-plan/page.tsx,47,13,678
TypeScript,src/app/golf/admin/crm/components/CRMDashboard.tsx,31,11,673
TypeScript,src/lib/baseball/stat-import-adapters.ts,38,102,670
TypeScript,src/components/fairway/pages/coachhelm/FairwayMyDevelopment.tsx,46,146,667
TypeScript,src/components/baseball/performance/StrengthGroupsClient.tsx,52,48,666
TypeScript,src/lib/coachhelm/v2/mining/shot-state-intelligence.ts,107,16,660
TypeScript,src/lib/utils/schedule-parser.ts,144,130,654
TypeScript,src/app/baseball/(dashboard)/dashboard/academics/page.tsx,52,19,651
SQL,supabase/migrations_archive/pre_20260527/20260208000000_baseball_team_management.sql,132,158,650
TypeScript,src/components/coach/discover/DiscoverView.tsx,58,35,649
TypeScript,src/app/golf/admin/components/tracer/TracerRoundInspector.tsx,59,31,647
SQL,supabase/migrations_archive/v1_original/20260108000002_comprehensive_rls_fix.sql,132,135,647
TypeScript,src/app/golf/admin/crm/components/CoachDetailPanel.tsx,51,90,643
TypeScript,src/app/golf/actions/crm-sequences.ts,92,109,640
SQL,supabase/migrations/20260624000080_baseball_elite_stat_event_model.sql,23,143,639
