language,filename,blank,comment,code,"github.com/AlDanial/cloc v 2.06  T=10.17 s (570.9 files/s 166264.8 lines/s)"
TypeScript,./src/components/baseball/player-today/PlayerTodayClient.tsx,95,175,1478
YAML,./.playwright-mcp/page-2026-04-29T00-42-15-250Z.yml,0,0,1472
Markdown,./docs/features/PHASE_4_PLAYER_RECRUITING.md,232,0,1462
TypeScript,./src/components/baseball/player-profile/PlayerProfileClient.tsx,77,58,1460
TypeScript,./src/app/golf/(dashboard)/dashboard/settings/page.tsx,128,60,1429
TypeScript,./src/app/golf/admin/components/BusinessIntelligenceTab.tsx,88,54,1423
TypeScript,./src/app/golf/actions/admin-tracer-data.ts,158,90,1419
Markdown,./UI-UX-SPECIFICATION.md,254,0,1416
TypeScript,./src/components/fairway/pages/coachhelm/FairwayEffectiveness.tsx,114,212,1406
Text,./.helm/understanding_raw.txt,2,0,1401
Markdown,./memory/context/golfhelm-database.md,160,0,1371
Text,./.cleanup/reports/baseball-related-files.txt,0,0,1348
TypeScript,./src/components/golf/calendar/EventDetailModal.tsx,85,103,1345
SQL,./supabase/migrations_archive/pre_20260527/034_all_rls_policies.sql,301,162,1341
TypeScript,./src/app/golf/actions/round-review-system.ts,180,281,1338
Markdown,./docs/v3-master-plan.md,334,0,1324
Markdown,./.helm/cycles/issues-cycle-001.md,576,0,1313
JavaScript,./tools/ux-flow-auditor/scripts/dashboard-helmdev.cjs,173,53,1305
TypeScript,./src/app/golf/(dashboard)/dashboard/documents/documents-client.tsx,104,36,1296
JavaScript,./tools/baseballhelm-command-center/city-engine.js,86,222,1293
TypeScript,./src/app/golf/actions/round-reviews.ts,235,179,1292
TypeScript,./src/components/lifting/programs/ProgramEditorClient.tsx,84,60,1286
TypeScript,./src/app/baseball/actions/imports.ts,123,359,1260
SQL,./supabase/migrations_archive/pre_20260527/20260314100000_fix_shot_tracking_bugs.sql,107,79,1250
Markdown,./docs/architecture/SHARED_SYSTEMS.md,180,0,1243
YAML,./.playwright-mcp/page-2026-05-02T19-05-22-102Z.yml,0,0,1215
YAML,./.playwright-mcp/page-2026-05-02T20-40-58-167Z.yml,0,0,1215
TypeScript,./src/components/baseball/practice-planner/PracticePlannerClient.tsx,80,75,1214
TypeScript,./src/lib/utils/__tests__/golf-stats-calculator-shots.test.ts,273,191,1184
Markdown,./docs/features/coachhelm/FEATURE_1_COACH_PHILOSOPHY_SETTINGS.md,192,0,1182
Markdown,./docs/HELM_DATABASE_VERCEL_COACHHELM_DEEP_DIVE_2026-05-27.md,483,0,1176
TypeScript,./src/app/golf/(dashboard)/dashboard/rounds/continue/[id]/continue-round-client.tsx,88,109,1172
TypeScript,./src/app/fairway-preview/page.tsx,61,51,1160
JavaScript,./tools/ultra-agent-audit/public/app.js,209,130,1159
HTML,./docs/redesign/marketing-overhaul-2026-06-18/mockups/products-1-twirl-pillars.html,93,20,1157
TypeScript,./src/components/baseball/video/VideoLibraryClient.tsx,80,58,1153
